"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),상대방이 먼저 그런 행동을 해서 보복하기 위해,재미나 장난으로 스트레스 해소를 위해,상대방이 싫어서 상대방에게 화가 나서,주변에서 함께 하므로 친구들과 어울리기 위해,내 의견과 달라서 상대방이 틀린 말을 해서,그냥 특별한 이유 없이
"전체",소계,38.4,21.2,24.2,6.1,14.3,17.5
"성별",남학생,39.1,22.4,22.9,5.3,14.6,17.8
"성별",여학생,36.9,18.7,26.8,7.9,13.8,17.0
"학령별",초등학교,38.5,18.0,20.8,4.9,11.7,22.0
"학령별",중학교,38.5,22.9,23.6,8.3,13.1,16.4
"학령별",고등학교,38.0,23.2,30.5,4.3,20.5,12.5
"학교특성별",남학교,40.0,21.2,25.8,5.1,15.2,18.2
"학교특성별",여학교,35.9,15.6,31.6,5.6,12.1,18.3
"학교특성별",남녀공학,38.0,24.3,25.6,7.5,16.3,13.6
"거주지역별",대도시,36.4,20.5,23.4,6.5,15.3,20.0
"거주지역별",중소도시,39.4,22.1,23.7,5.5,14.1,16.1
"거주지역별",읍면지역,39.6,19.2,28.1,7.7,12.5,16.9
"권역별",수도권,37.8,19.6,25.8,5.9,14.4,17.8
"권역별",충청권,40.7,22.0,22.8,7.2,14.4,13.9
"권역별",호남권,37.7,21.1,19.3,4.4,14.8,20.4
"권역별",동북권,36.2,26.1,24.2,5.1,17.0,16.6
"권역별",동남권,40.4,21.9,23.5,7.9,11.9,18.3
"인터넷 이용 시간별",1시간 미만,28.4,20.3,19.5,7.5,9.7,25.1
"인터넷 이용 시간별",1~2시간 미만,32.0,22.4,19.3,7.1,16.4,17.3
"인터넷 이용 시간별",2~3시간 미만,41.0,24.7,22.0,6.7,10.8,16.9
"인터넷 이용 시간별",3~5시간 미만,39.1,19.2,24.5,4.9,16.4,17.4
"인터넷 이용 시간별",5시간 이상,39.4,20.3,27.9,6.4,14.3,17.5
"가정형편별",상위,41.5,20.3,22.6,6.7,18.9,15.1
"가정형편별",중위,38.4,21.4,24.4,6.1,13.7,17.4
"가정형편별",하위,25.8,18.6,20.8,4.2,16.3,30.8
"학업성적별",상위권,31.2,25.5,22.6,6.6,14.2,20.5
"학업성적별",중위권,40.9,20.0,25.6,6.0,14.2,15.9
"학업성적별",하위권,32.3,21.9,15.1,5.9,15.5,26.0
"사이버폭력 예방교육별",경험 있음,38.8,21.3,24.9,5.6,14.2,16.8
"사이버폭력 예방교육별",경험 없음,34.6,20.4,17.7,10.6,15.0,23.7
