"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 문제가 되지 않는다,문제가 되지 않는다,문제가 된다,매우 문제가 된다
"전체",소계,2.4,2.8,38.8,55.9
"성별",남학생,3.2,4.0,42.7,50.1
"성별",여학생,1.6,1.6,34.7,62.1
"학령별",초등학교,2.9,3.4,32.0,61.6
"학령별",중학교,2.2,2.7,45.3,49.7
"학령별",고등학교,2.2,2.3,39.1,56.4
"학교특성별",남학교,4.0,4.5,44.9,46.5
"학교특성별",여학교,1.3,1.1,31.6,66.1
"학교특성별",남녀공학,1.9,2.3,43.6,52.1
"거주지역별",대도시,2.5,2.5,37.4,57.6
"거주지역별",중소도시,2.5,3.2,38.7,55.6
"거주지역별",읍면지역,2.2,2.2,43.7,51.9
"권역별",수도권,2.2,2.4,38.4,56.9
"권역별",충청권,3.1,3.1,40.0,53.8
"권역별",호남권,2.3,3.2,41.7,52.9
"권역별",동북권,2.1,3.3,39.9,54.8
"권역별",동남권,3.0,3.1,36.7,57.2
"인터넷 이용 시간별",1시간 미만,6.9,3.2,21.0,69.0
"인터넷 이용 시간별",1~2시간 미만,2.7,2.3,32.7,62.2
"인터넷 이용 시간별",2~3시간 미만,2.2,2.4,40.8,54.6
"인터넷 이용 시간별",3~5시간 미만,1.4,2.3,42.3,54.0
"인터넷 이용 시간별",5시간 이상,2.4,4.0,42.2,51.3
"가정형편별",상위,4.9,3.3,30.1,61.7
"가정형편별",중위,1.9,2.7,40.1,55.3
"가정형편별",하위,8.3,3.3,36.5,51.8
"학업성적별",상위권,3.2,3.1,33.5,60.2
"학업성적별",중위권,2.1,2.5,39.9,55.4
"학업성적별",하위권,3.4,4.9,41.9,49.8
"사이버폭력 예방교육별",경험 있음,2.1,2.6,38.3,57.0
"사이버폭력 예방교육별",경험 없음,5.3,4.3,42.6,47.8
