"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),피해 경험률,사이버 언어폭력,사이버 명예훼손,사이버 스토킹,사이버 성폭력,신상정보 유출,사이버 따돌림,사이버 갈취,사이버 강요
"전체",소계,12.9,8.7,5.8,5.6,4.3,1.2,1.3,0.6,0.8
"성별",남성,13.0,8.8,5.5,5.4,4.2,1.4,1.4,0.7,0.8
"성별",여성,12.7,8.7,6.2,5.7,4.3,1.1,1.2,0.6,0.8
"연령별",20~29세,24.4,18.0,12.4,10.5,5.7,3.1,1.7,1.3,1.1
"연령별",30~39세,15.1,11.0,6.6,6.6,5.2,1.5,2.0,0.9,1.2
"연령별",40~49세,9.9,5.9,3.6,3.7,3.9,0.8,0.9,0.2,0.3
"연령별",50~59세,8.8,5.5,3.8,3.7,3.6,0.4,0.9,0.3,0.7
"연령별",60~69세,6.6,3.7,3.2,3.7,2.8,0.5,1.1,0.6,0.7
"학력별",초졸이하,3.1,3.1,0.8,1.4,1.4,-,-,-,-
"학력별",중졸,4.3,2.2,2.2,2.2,1.2,0.3,0.8,0.5,-
"학력별",고졸,10.7,6.6,4.5,4.8,3.7,1.1,1.3,0.5,0.7
"학력별",대졸이상,15.4,10.9,7.3,6.4,4.9,1.5,1.4,0.8,0.9
"직업별",전문관리,20.6,15.2,5.9,6.6,5.5,-,1.5,0.8,0.3
"직업별",사무,14.4,9.4,7.1,6.7,5.1,1.6,1.4,0.7,0.9
"직업별",서비스판매,11.1,7.8,5.0,4.2,3.6,1.0,1.0,0.4,0.8
"직업별",농어업,5.1,3.5,2.1,2.2,1.4,0.2,1.4,0.6,-
"직업별",기능노무,10.4,6.8,5.3,4.7,3.7,0.9,1.5,0.9,0.9
"직업별",학생,29.6,20.3,13.5,14.9,8.1,4.6,3.0,1.1,1.3
"직업별",주부,7.6,4.5,2.6,3.5,3.3,0.6,0.5,0.6,0.4
"직업별",무직/기타,17.5,14.3,8.7,5.9,4.0,1.2,2.0,-,0.9
"혼인상태별",미혼,21.9,16.2,11.0,9.3,6.3,3.0,1.9,1.4,1.2
"혼인상태별",기혼,10.2,6.5,4.2,4.3,3.6,0.7,1.1,0.4,0.7
"혼인상태별",사별/이혼/기타,8.5,5.4,4.1,4.5,3.2,0.6,1.2,0.5,0.3
"가구주여부별",가구주,11.1,6.9,5.0,5.2,4.1,1.4,1.4,0.7,0.7
"가구주여부별",가구원,14.8,10.7,6.7,5.9,4.5,1.1,1.2,0.6,0.9
"월평균 가구소득별",100만원 미만,7.1,6.7,3.9,3.9,1.7,1.7,1.7,1.7,1.7
"월평균 가구소득별",100~200만원 미만,8.8,5.9,5.0,4.5,4.1,2.1,1.5,1.5,0.7
"월평균 가구소득별",200~300만원 미만,12.1,7.6,6.5,5.2,4.1,1.7,1.0,0.6,0.7
"월평균 가구소득별",300~400만원 미만,12.0,7.8,5.0,5.6,3.8,1.2,1.7,0.7,1.0
"월평균 가구소득별",400~500만원 미만,14.5,10.3,6.7,6.1,5.0,1.6,1.3,0.6,0.7
"월평균 가구소득별",500~600만원 미만,14.0,9.4,6.1,6.1,4.2,0.9,1.1,0.8,0.9
"월평균 가구소득별",600~700만원 미만,11.9,7.4,5.4,4.9,4.8,0.3,1.0,0.1,0.8
"월평균 가구소득별",700만원 이상,13.6,11.5,4.6,3.6,2.6,0.2,0.3,-,-
"동거 가구원수별",1인,14.2,8.6,7.1,7.1,4.9,2.6,1.5,1.2,0.9
"동거 가구원수별",2인,9.9,6.8,4.6,4.7,3.5,0.8,1.4,0.5,0.9
"동거 가구원수별",3인,13.2,8.5,5.2,5.5,4.5,1.3,1.6,0.6,0.9
"동거 가구원수별",4인 이상,15.6,11.8,7.7,5.6,4.5,0.8,0.6,0.4,0.3
"거주지역별",대도시,14.1,9.9,6.5,6.0,4.6,1.2,1.3,0.7,1.0
"거주지역별",중소도시,10.3,5.6,4.0,4.8,3.4,1.4,1.3,0.3,0.3
"거주지역별",읍면지역,10.2,7.8,5.4,4.2,4.1,1.4,1.4,0.9,0.9
"권역별",수도권,10.2,6.7,5.1,3.6,3.0,0.7,1.0,0.6,0.7
"권역별",충청권,29.1,19.8,12.3,15.6,14.8,3.8,3.2,1.8,2.5
"권역별",호남권,10.6,7.5,4.1,3.4,2.4,0.8,0.5,0.4,0.4
"권역별",동북권,20.2,14.1,9.9,10.4,6.2,2.8,2.0,0.6,0.5
"권역별",동남권,6.0,4.1,1.5,2.5,0.6,0.3,1.0,0.2,0.2
"인터넷 이용시간별",1시간 미만,4.8,2.8,2.1,2.2,1.9,0.4,0.2,0.3,0.5
"인터넷 이용시간별",1~2시간 미만,9.8,6.5,4.6,3.8,2.8,1.0,1.1,0.3,0.2
"인터넷 이용시간별",2~3시간 미만,13.6,8.9,5.2,6.8,5.0,1.1,1.5,0.7,1.1
"인터넷 이용시간별",3~4시간 미만,17.1,12.1,9.1,6.8,5.9,2.1,1.5,0.9,0.9
"인터넷 이용시간별",4시간 이상,19.7,14.3,8.6,8.2,5.7,1.4,2.0,1.3,1.7
"사이버폭력 예방교육별",경험 있음,27.7,20.3,15.8,17.3,13.9,4.5,5.7,2.5,3.2
"사이버폭력 예방교육별",경험 없음,11.3,7.5,4.8,4.3,3.2,0.9,0.8,0.4,0.5
