"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),별일 아니라고 생각해서,나에게도 잘못이 있다고 생각해서,어디에 도움을 요청해야 할지 몰라서,가해자가 보복(복수)할 것 같아서,가해자가 누구인지 몰라서,대응해도 피해가 멈춰질 것 같지 않아서,친구를 잃을 것 같아서,친구들로부터 더 심한 따돌림을 받게 될 것 같아서
"전체",소계,53.8,5.4,17.6,2.4,19.1,5.7,0.8,10.0
"성별",남성,63.4,5.5,16.9,1.5,11.2,5.0,0.7,6.2
"성별",여성,40.4,5.3,18.4,3.6,29.9,6.6,0.9,15.3
"연령별",19~29세,54.0,7.2,19.3,2.3,19.2,1.0,1.0,9.5
"연령별",30~39세,54.9,4.1,18.2,1.1,19.6,5.5,0.0,10.3
"연령별",40~49세,57.3,2.5,17.5,4.9,20.1,5.6,0.0,7.3
"연령별",50~59세,49.1,4.8,8.5,4.8,16.3,15.4,0.0,15.6
"연령별",60~69세,48.9,7.1,17.2,0.0,18.1,16.6,4.0,10.6
"학력별",초졸이하,32.0,0.0,0.0,0.0,31.6,36.3,0.0,0.0
"학력별",중졸,24.4,0.0,0.0,0.0,49.2,0.0,0.0,26.4
"학력별",고졸,62.9,6.5,17.2,1.2,17.2,6.7,1.1,8.7
"학력별",대졸이상,49.4,5.1,18.5,3.2,19.3,4.6,0.6,10.6
"직업별",전문관리,65.4,10.3,10.1,10.1,13.6,10.4,5.1,0.0
"직업별",사무,54.5,1.4,11.4,1.7,21.8,4.1,0.0,15.0
"직업별",서비스판매,53.8,5.8,22.1,2.5,15.6,10.1,0.0,5.4
"직업별",농어업,74.5,0.0,25.5,0.0,0.0,0.0,0.0,0.0
"직업별",기능노무,55.0,6.5,25.1,0.0,13.5,0.0,0.0,0.0
"직업별",학생,61.1,7.4,21.2,0.0,25.3,0.0,3.4,0.0
"직업별",주부,39.5,5.7,16.5,0.0,24.2,4.2,0.0,32.4
"직업별",무직/기타,41.7,13.4,19.8,7.7,19.7,6.7,0.0,11.6
"혼인상태별",미혼,55.7,6.6,19.3,2.2,19.4,2.0,0.7,8.3
"혼인상태별",기혼,51.5,3.7,16.7,1.9,16.6,7.4,1.0,13.8
"혼인상태별",사별/이혼/기타,50.7,6.2,6.2,8.1,33.9,30.2,0.0,0.0
"가구주여부별",가구주,57.1,3.7,17.6,2.6,19.9,7.9,1.5,4.3
"가구주여부별",가구원,50.2,7.4,17.5,2.2,18.2,3.2,0.0,16.1
"월평균 가구소득별",100만원 미만,34.2,0.0,6.2,0.0,52.1,7.5,7.3,0.0
"월평균 가구소득별",100~200만원 미만,67.8,0.0,13.0,0.0,19.2,0.0,0.0,0.0
"월평균 가구소득별",200~300만원 미만,66.4,4.9,21.2,0.0,19.2,7.0,2.4,2.0
"월평균 가구소득별",300~400만원 미만,43.1,8.4,17.7,8.8,21.6,4.5,0.0,11.6
"월평균 가구소득별",400~500만원 미만,51.7,5.5,14.4,2.3,10.4,4.6,0.0,23.4
"월평균 가구소득별",500~600만원 미만,45.0,6.5,24.9,0.0,19.8,6.0,0.0,12.6
"월평균 가구소득별",600~700만원 미만,79.0,0.0,18.7,2.8,7.0,7.6,0.0,3.7
"월평균 가구소득별",700만원 이상,50.1,12.2,6.7,0.0,30.6,6.4,0.0,0.0
"동거 가구원수별",1인,47.4,3.2,19.9,3.7,25.2,6.4,3.0,4.3
"동거 가구원수별",2인,51.5,5.2,17.2,0.0,13.1,8.0,0.0,22.3
"동거 가구원수별",3인,54.1,8.9,16.9,0.9,20.2,4.7,0.0,10.3
"동거 가구원수별",4인 이상,60.9,3.1,16.4,4.6,15.1,4.8,0.0,8.1
"거주지역별",대도시,43.7,6.0,21.0,3.2,18.2,7.1,1.3,15.9
"거주지역별",중소도시,66.9,4.1,11.5,0.0,25.5,2.8,0.0,2.8
"거주지역별",읍면지역,68.7,6.0,16.1,4.6,8.0,6.0,0.0,0.0
"권역별",수도권,50.4,6.2,17.2,2.6,16.3,6.9,0.7,19.3
"권역별",충청권,59.8,4.6,18.9,0.0,18.2,3.0,0.0,0.0
"권역별",호남권,58.7,2.9,16.7,3.4,22.8,6.8,0.0,0.0
"권역별",동북권,55.8,6.8,23.7,0.0,20.5,0.0,0.0,0.0
"권역별",동남권,56.0,4.9,14.8,3.8,25.1,5.8,2.5,0.0
"인터넷 이용시간별",1시간 미만,44.1,6.6,19.2,5.4,12.3,7.2,0.0,23.8
"인터넷 이용시간별",1~2시간 미만,34.7,0.0,30.3,4.3,16.6,4.2,0.0,28.7
"인터넷 이용시간별",2~3시간 미만,67.8,7.7,13.5,2.2,13.1,8.2,0.0,8.3
"인터넷 이용시간별",3~5시간 미만,53.9,10.0,14.1,0.0,22.1,5.6,0.0,0.0
"인터넷 이용시간별",5시간 이상,59.6,4.9,13.3,2.1,23.6,4.9,2.3,2.2
"사이버폭력예방교육별",경험 있음,59.8,7.1,16.4,2.6,11.2,9.9,0.0,5.4
"사이버폭력예방교육별",경험 없음,52.5,5.1,17.8,2.4,20.7,4.8,0.9,10.9
